Delete column for submission,Actual Name,Jeff,Andy,Initial Class,Proposed name,Country,State-Prov,Site,Find or Fall Date,Purchase date,Purchase place,Fall,Latitude,Longitude,Mass,Pieces,Class,Shock,Weathering grade,Fa,Fs,Wo,Mag sus,Classifier,Class method,Type spec mass,Type spec loc,Main mass loc,Finder,Comments,Writeup history,Writeup physical,Writeup petrog,Writeup geochem,Writeup class,Writeup specimens,Submitter,,
12415B,,"L5, ","L6, S4 Pair?",,Watson,Australia,South Australia,Nullarbor Plain,12-Apr-2015,,,,"30° 35' 29.2"" S","131° 33' 49.0"" E",11.1,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,Single stone found amongst limestone gibber by A. Tomkins.,A black-brown oriented individual stone with subtle roll-over lip over the broken back face.,"(A. Tomkins, Monash) Numerous easily distinguished chondrules with indistinct edges and coarse mesostases, range in size up to 1.5 mm diameter. Mineralogy includes olivine, pyroxene, plagioclase (mainly <50 microns), FeNi metal, troilite and chromite. Chondrule types include C, RP, PP, POP, PO and BO. Olivine grains show undulose extinction. 99% of Fe-Ni metal and troilite grains have been converted to Fe oxides.",,"Ordinary chondrite (H5, S2, W4)",,A. Tomkins,,
12415C,,L5,"L6, S4 pair?",,Watson,Australia,South Australia,Nullarbor Plain,12-Apr-2015,,,,"30° 35' 26.1"" S","131° 33' 36.4"" E",10.3,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,Single stone found fusion crust up amongst limestone gibber by A. Tomkins.,A single stone with well developed red-brown fusion crust. A major crack almost splits the sample.,"(A. Tomkins, Monash) Well-defined chondrules have fine-grained mesostases, range in size up to 2 mm diameter, and sit in a weakly recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase (mainly <10 microns), FeNi metal and troilite. Chondrule types include C, RP, PP, POP, PO and BO. Olivine grains show mosaicism; there is no shock melting. 60% of Fe-Ni metal and much of the troilite grains have been converted to Fe oxides.",,"Ordinary chondrite (L4, S3, W2)",,A. Tomkins,,
12415F,,"L4, S6","L4, S6",,Watson,Australia,South Australia,Nullarbor Plain,12-Apr-2015,,,,"30° 35' 43.2"" S","131° 35' 21.1"" E",133,2,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Langendam,,Single broken specimen found by A. Langendam,"Very fresh sample with green broken faces, yellowish from sulfide weathering. Thick bubbly black fusion crust covers ~30% of the surface.",,,,,A. Tomkins,,
13415A,,L5,"L5, Strewn Field",,Watson,Australia,South Australia,Nullarbor Plain,13-Apr-2015,,,,"30° 29' 09.1"" S","131° 39' 16.6"" E",128,28,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,"Separate fragmented finds made across an area of about 4 km x 2 km by A. Tomkins, A. Tait, S. Nutku, and S. Alkemade.","Nine stones, each highly fragmented, from a newly defined stewn field discovered in 2015.",,,,,A. Tomkins,,
13415B,,Winonaite,Acapulcoite?,Acapulcoite?,Watson,Australia,South Australia,Nullarbor Plain,13-Apr-2015,,,,"30° 28' 59.4"" S","131° 39' 46.2"" E",34,5,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,^,^,^,^,^,,A. Tomkins,,
13415C,,L5,"L5, Strewn Field",,Watson,Australia,South Australia,Nullarbor Plain,13-Apr-2015,,,,"30° 28' 54.2"" S","131° 39' 30.1"" E",65.5,2,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tait,,^,^,^,^,^,,A. Tomkins,,
13415F,,L5,"L5, Strewn Field",,Watson,Australia,South Australia,Nullarbor Plain,13-Apr-2015,,,,"30° 29' 22.7"" S","131° 40' 17.9"" E",24.9,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",S. Nutku,,^,^,^,^,^,,A. Tomkins,,
13415I,,L5,"L5, Strewn Field",,Watson,Australia,South Australia,Nullarbor Plain,13-Apr-2015,,,,"30° 29' 31.4"" S","131° 39' 03.5"" E",81.7,8,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,^,^,^,^,^,,A. Tomkins,,
13415J,,L4,LL6,,Watson,Australia,South Australia,Nullarbor Plain,13-Apr-2015,,,,"30° 28' 48.4"" S","131° 39' 13.2"" E",36.7,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tait,,A single black specimen found amongst other black Earth rocks and limestone gibber by A. Tait,"Black weakly magnetic sample, ~60% fusion crust.",,,,,A. Tomkins,,
13415K,,L5,EL5,,Watson,Australia,South Australia,Nullarbor Plain,13-Apr-2015,,,,"30° 30' 52.3"" S","131° 38' 01.4"" E",11.3,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Langendam,,A single flat stone found mostly buried by A. Langendam.,Single flat red-brown fragment.,,,,,A. Tomkins,,
14415A,,L5,L4,,Watson,Australia,South Australia,Nullarbor Plain,14-Apr-2015,,,,"30° 32' 51.6"" S","131° 35' 17.3"" E",176,9,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",R. Hine,,Several fragments collected over a small area by R. Hine after finding a small initial fragment.,"Several flat, dark red-brown fragments ranging from 2 to 6 cm.",,,,,A. Tomkins,,
14415C,,EL3,L4,,Watson,Australia,South Australia,Nullarbor Plain,14-Apr-2015,,,,"30° 32' 17.7"" S","131° 36' 34.8"" E",16.8,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",R. Stokes,,A single stone found with broken surface facing up by R. Stokes.,Single flat red-brown 3 cm fragment.,,,,,A. Tomkins,,
15415B,,H5,H4,,Watson,Australia,South Australia,Nullarbor Plain,15-Apr-2015,,,,"30° 31' 36.4"" S","131° 50' 15.4"" E",33.5,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",S. Alkemade,,A single stone found by S. Alkemade while line searching near a previous eucrite find.,Single red-brown stone with ~50% fusion crust.,,,,,A. Tomkins,,
15415G,,L5,EH6,EH6?,Watson,Australia,South Australia,Nullarbor Plain,15-Apr-2015,,,,"30° 30' 09.3"" S","131° 51' 23.5"" E",57.1,3,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",R. Hine,,Three broken fragments foundover an area of ~30 m2 by R. Hine.,"Three red-brown fragments, probably about 50% of a single stone given the amount of fusion crust.",,,,,A. Tomkins,,
15415H,,L4,L4,,Watson,Australia,South Australia,Nullarbor Plain,15-Apr-2015,,,,"30° 30' 12.8"" S","131° 51' 37.1"" E",12.3,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",R. Stokes,,A single fragment found with broken side facing up by R. Stokes.,A red-brown fragment with minor fusion crust.,,,,,A. Tomkins,,
